game_id,date,home_team,away_team,home_score,away_score,home_win
0022500276,2025-11-23,ATL,CHA,113,110,1
0022500278,2025-11-23,CLE,LAC,120,105,1
0022500282,2025-11-23,UTA,LAL,106,108,0
0022500281,2025-11-23,PHX,SAS,111,102,1
0022500279,2025-11-23,TOR,BKN,119,109,1
0022500285,2025-11-24,BKN,NYK,100,113,0
0022500286,2025-11-24,MIA,DAL,106,102,1
0022500289,2025-11-24,NOP,CHI,143,130,1
0022500288,2025-11-24,MIL,POR,103,115,0
0022500283,2025-11-24,IND,DET,117,122,0
0022500291,2025-11-24,GSW,UTA,134,117,1
0022500290,2025-11-24,PHX,HOU,92,114,0
0022500292,2025-11-24,SAC,MIN,117,112,1
0022500284,2025-11-24,TOR,CLE,110,99,1
0022500287,2025-11-24,MEM,DEN,115,125,0
0022500057,2025-11-25,WAS,ATL,132,113,1
0022500058,2025-11-25,PHI,ORL,103,144,0
0022500059,2025-11-25,LAL,LAC,135,118,1
0022500067,2025-11-26,POR,SAS,102,115,0
0022500064,2025-11-26,OKC,MIN,113,105,1
0022500062,2025-11-26,MIA,MIL,106,103,1
0022500060,2025-11-26,BOS,DET,117,114,1
0022500066,2025-11-26,GSW,HOU,100,104,0
0022500065,2025-11-26,NOP,MEM,128,133,0
0022500068,2025-11-26,SAC,PHX,100,112,0
0022500061,2025-11-26,CHA,NYK,101,129,0
0022500063,2025-11-26,TOR,IND,97,95,1
0022500076,2025-11-28,DEN,SAS,136,139,0
0022500078,2025-11-28,LAL,DAL,129,119,1
0022500074,2025-11-28,NYK,MIL,118,109,1
0022500072,2025-11-28,DET,ORL,109,112,0
0022500075,2025-11-28,OKC,PHX,123,119,1
0022500079,2025-11-28,LAC,MEM,107,112,0
0022500069,2025-11-28,ATL,CLE,130,123,1
0022500070,2025-11-28,BKN,PHI,103,115,0
0022500071,2025-11-28,CHA,CHI,123,116,1
0022500077,2025-11-28,UTA,SAC,128,119,1
0022500073,2025-11-28,IND,WAS,119,86,1
0022500296,2025-11-29,MIA,DET,135,138,0
0022500300,2025-11-29,LAC,DAL,110,114,0
0022500294,2025-11-29,CHA,TOR,118,111,1
0022500295,2025-11-29,IND,CHI,103,101,1
0022500297,2025-11-29,MIL,BKN,116,99,1
0022500298,2025-11-29,GSW,NOP,104,96,1
0022500299,2025-11-29,PHX,DEN,112,130,0
0022500293,2025-11-29,MIN,BOS,119,115,1
0022500302,2025-11-30,CLE,BOS,115,117,0
0022500303,2025-11-30,NYK,TOR,116,94,1
0022500305,2025-11-30,POR,OKC,115,123,0
0022500306,2025-11-30,MIN,SAS,125,112,1
0022500304,2025-11-30,PHI,ATL,134,142,0
0022500307,2025-11-30,SAC,MEM,107,115,0
0022500308,2025-11-30,LAL,NOP,133,121,1
