PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,PTS_STD,REB_STD,AST_STD,STL_STD,BLK_STD,FG_PCT_STD,FG3_PCT_STD,MIN_STD,GAMES_LOGGED
202696,Nikola Vučević,1610612741,CHI,35.0,3,3,0,1.0,32.5,7.7,12.0,0.639,2.0,3.7,0.545,2.7,2.7,1.0,3.0,10.0,13.0,4.3,2.7,1.0,0.3,0.3,2.7,2.3,20.0,5.0,110.7,102.3,8.4,0.217,21.3,0.096,0.259,0.186,13.1,0.722,0.759,0.199,106.46,0.201,7.0,4.58257569495584,4.041451884327381,1.0,0.5773502691896258,0.053724606404638574,0.3757831821675898,1.5275252316519465,3
203999,Nikola Jokić,1610612743,DEN,30.0,3,2,1,0.667,36.3,7.3,13.7,0.537,0.7,5.3,0.125,4.7,5.0,0.933,2.7,12.7,15.3,11.7,3.3,2.0,0.7,0.3,3.3,6.0,20.0,11.3,123.7,109.5,14.2,0.455,37.6,0.08,0.345,0.219,10.8,0.561,0.63,0.221,101.95,0.214,5.5677643628300215,3.214550253664318,2.8867513459481287,1.0,0.5773502691896258,0.2760006038640737,0.08891194145520236,4.509249752822894,3
1630552,Jalen Johnson,1610612737,ATL,23.0,3,1,2,0.333,30.8,7.7,13.7,0.561,0.0,1.7,0.0,4.3,5.0,0.867,1.3,5.7,7.0,4.0,2.3,1.7,0.3,1.0,2.7,4.0,19.7,-13.7,104.2,121.8,-17.5,0.207,18.2,0.04,0.198,0.112,10.6,0.561,0.62,0.233,111.29,0.144,6.8068592855540455,1.0,3.605551275463989,1.1547005383792517,0.5773502691896258,0.0564121736270934,0.0,4.58257569495584,3
1642259,Alex Sarr,1610612764,WAS,20.0,4,1,3,0.25,27.6,8.0,14.5,0.552,1.0,2.8,0.364,2.5,3.0,0.833,2.0,6.8,8.8,4.5,3.0,0.8,2.0,1.5,2.0,3.5,19.5,-1.3,116.2,119.2,-3.1,0.25,19.1,0.067,0.235,0.149,12.8,0.586,0.616,0.275,104.28,0.16,9.39858145324779,3.304037933599835,1.0,0.9574271077563381,1.4142135623730951,0.04972842915945229,0.22343455417638516,4.193248541803041,4
1628415,Dillon Brooks,1610612756,PHX,29.0,3,1,2,0.333,30.5,7.3,19.7,0.373,3.0,10.3,0.29,1.7,1.7,1.0,1.3,2.0,3.3,2.3,2.3,2.7,0.7,0.7,4.3,2.3,19.3,-9.7,107.7,120.1,-12.4,0.127,9.3,0.037,0.07,0.052,9.3,0.449,0.474,0.292,103.37,0.069,3.7859388972001824,0.5773502691896258,0.5773502691896258,1.1547005383792515,0.5773502691896258,0.03952636251077667,0.1933140795010372,3.5118845842842465,3
1630581,Josh Giddey,1610612741,CHI,23.0,3,3,0,1.0,31.3,6.3,14.7,0.432,1.7,4.0,0.417,5.0,7.0,0.714,1.0,7.7,8.7,6.3,3.7,0.7,0.7,0.7,2.3,4.3,19.3,-0.3,103.4,101.9,1.5,0.345,22.6,0.032,0.198,0.123,13.1,0.489,0.545,0.278,107.44,0.154,1.5275252316519468,4.041451884327381,4.163331998932266,0.5773502691896258,0.5773502691896258,0.057726366015308235,0.05773502691896257,2.081665999466133,3
1629008,Michael Porter Jr.,1610612751,BKN,27.0,4,0,4,0.0,31.7,7.8,16.3,0.477,3.0,7.5,0.4,0.5,1.3,0.4,0.5,5.0,5.5,3.5,1.3,0.8,0.0,0.8,2.5,1.5,19.0,-9.8,117.1,134.6,-17.5,0.159,16.3,0.015,0.18,0.09,5.8,0.569,0.565,0.235,100.54,0.106,8.366600265340756,1.9148542155126762,1.2909944487358056,0.9574271077563381,0.0,0.15619218930535547,0.11164639119410294,6.238322424070967,4
201942,DeMar DeRozan,1610612758,SAC,36.0,4,1,3,0.25,36.8,7.8,15.5,0.5,0.8,2.5,0.3,2.8,4.3,0.647,0.5,3.5,4.0,5.3,0.8,1.8,0.3,0.0,1.3,5.5,19.0,-2.5,107.5,110.0,-2.5,0.208,23.1,0.012,0.096,0.051,3.3,0.524,0.547,0.197,104.05,0.124,9.092121131323903,2.449489742783178,2.8722813232690143,0.5,0.5,0.16117278513032732,0.249944493838132,2.8722813232690143,4
1630217,Desmond Bane,1610612753,ORL,27.0,4,1,3,0.25,32.8,7.3,15.3,0.475,1.5,5.5,0.273,3.0,3.3,0.923,1.5,3.3,4.8,3.0,2.8,0.3,0.5,0.8,4.0,2.3,19.0,-9.3,101.4,113.5,-12.1,0.176,13.5,0.042,0.094,0.068,12.4,0.525,0.57,0.232,105.28,0.097,5.228129047119374,1.707825127659933,1.632993161855452,0.5,1.0,0.12339739327338589,0.21329537422707195,1.2583057392117916,4
1628970,Miles Bridges,1610612766,CHA,27.0,4,2,2,0.5,32.2,6.0,15.3,0.393,2.3,7.3,0.31,4.5,5.3,0.857,1.0,6.0,7.0,3.8,1.0,0.8,0.3,0.5,1.3,3.3,18.8,-0.8,111.7,111.2,0.5,0.167,16.7,0.029,0.164,0.099,4.4,0.467,0.534,0.23,109.23,0.123,2.217355782608345,3.559026084010437,2.5,0.5,0.5,0.09410632284814875,0.1471654397834854,1.8929694486000912,4
